Structure(SMILES)	DTXCID
FC1(F)C(F)=C(F)C(F)(F)C(F)(F)C1(Br)F	DTXCID00464502
FC1(F)C(F)=C(C(F)(F)C1(F)F)C(F)(F)F	DTXCID30330322
FC1(F)C(F)=C(C(F)(F)C(F)(F)C1(Br)F)C(F)(F)F	DTXCID40470026
FC1(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F	DTXCID80803839
FC1(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C1(F)F	DTXCID60870665
FC1(F)C(F)(F)C1(F)F	DTXCID60161767
FC1(F)C(F)(F)C(I)=C(Cl)C(F)(F)C1(F)F	DTXCID30456930
FC1(F)C(F)(F)C(I)(C(F)(F)C1(F)F)C(F)(F)F	DTXCID50330900
FC1(F)C(F)(F)C(F)=C(I)C(F)(F)C1(F)F	DTXCID50490932
FC1(F)C(F)(F)C(F)=C(F)C1(Cl)F	DTXCID601511159
FC1(F)C(F)(F)C(F)=C(F)C(F)(F)C1(F)F	DTXCID7039040
FC1(F)C(F)(F)C(F)=C(Cl)C(F)(F)C1(F)F	DTXCID80461716
FC1(F)C(F)(F)C(F)(F)C1(F)F	DTXCID7021811
FC1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F	DTXCID70113530
FC1(F)C(F)(F)C(F)(F)C(F)(F)C1(Cl)F	DTXCID60407531
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)I	DTXCID50325795
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F	DTXCID8039039
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(Cl)F	DTXCID10322528
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(Br)F	DTXCID20322337
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F	DTXCID70386904
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F	DTXCID30819187
FC1(F)C(F)(F)C(F)(C(F)(F)C1(F)F)C(F)(F)F	DTXCID6035730
FC1(F)C(F)(F)C(F)(C(F)(F)C1(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID301513182
FC1(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C1(F)F)C1(F)C(F)=C(F)C(F)(F)C(F)(F)C1(F)F	DTXCID00764231
FC1(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C1(F)F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F	DTXCID40126874
FC1(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C1(F)F)C(F)(F)F	DTXCID3039034
FC1(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C1(F)F)C(F)(F)C1(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C1(F)F	DTXCID601022584
FC1(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C1(F)F)C(F)(F)C1(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C1(F)F	DTXCID901022583
FC1(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C1(F)F)C(F)(F)C(F)(F)F	DTXCID30109631
FC1(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C1(F)F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F	DTXCID001021714
FC1(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C1(F)F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID60466663
FC1(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C1(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID80113329
FC1(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C1(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID501507739
FC1(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C1(F)F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID80386935
FC1(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C1(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXCID00156359
FC1(F)C(F)(F)C(F)(C(F)(C(F)(F)C1(F)F)C(F)(F)F)C(F)(F)F	DTXCID50818218
FC1(F)C(F)(F)C(F)(C(F)(C(F)(F)C1(F)F)C(F)(F)C(F)(F)F)C(F)(F)F	DTXCID601513212
FC1(F)C(F)(F)C(F)(C(F)(C(F)(F)C1(F)F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXCID10631829
FC1(F)C(F)(F)C(Cl)=C(Cl)C1(Cl)F	DTXCID50410337
FC1(F)C(F)(F)C(Cl)=C(Cl)C(F)(F)C1(F)F	DTXCID40109788
FC1(F)C(F)(F)C(Cl)(F)C1(F)F	DTXCID50388022
FC1(F)C(F)(F)C(Cl)(F)C1(Cl)F	DTXCID30818231
FC1(F)C(F)(F)C(Cl)(Cl)C1(F)F	DTXCID3037622
FC1(F)C(F)(F)C(Cl)(Cl)C1(Cl)Cl	DTXCID00109789
FC1(F)C(F)(F)C(C(F)(F)C1(F)F)(C(F)(F)F)C(F)(F)F	DTXCID60166595
FC1(F)C(F)(F)C(C(F)(F)C(F)(F)C1(F)F)(C(F)(F)F)C(F)(F)F	DTXCID60103667
FC1(F)C(F)(F)C(C(F)(F)C(F)(F)C1(F)F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F	DTXCID30551878
FC1(F)C(F)(F)C(C(F)(C(F)(F)C1(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXCID90551879
FC1(F)C(F)(F)C(C(F)(C(F)(F)C1(F)F)C(F)(F)F)(C(F)(F)C1(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C1(F)F)C(F)(F)F	DTXCID30717119
FC1(F)C(F)(F)C(C(F)(C(F)(F)C1(F)F)C(F)(F)C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXCID80613819
