Structure(SMILES)	DTXSID	FW
[O-]S(=O)(=O)CCC[N+](C)(C)CCCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101035027	514.4339
FC(F)(F)C(F)(OC(F)(F)F)C(N)=O	DTXSID20896482	229.0530
FC(F)(C1=NCCO1)C(F)(F)F	DTXSID80627456	189.0834
Clc1cc(N)cc(Cl)c1OC(F)(F)C(F)F	DTXSID30420176	278.0310
FC(F)(OS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID901034835	416.1140
N#CN1CC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CCI)C1	DTXSID801023176	582.1422
FC(F)C(F)(F)C(Cl)F	DTXSID80870748	168.4930
O=C(C(CC)C(O)(C(F)(F)F)C(F)(F)F)c1ccccc1	DTXSID60303807	314.2236
[Er+3].FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)P([O-])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)P([O-])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)P([O-])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID801032955	2870.5274 (167.2574+901.0900+901.0900+901.0900)
FC(F)(OCC(C)(C)COC(F)(F)C(F)F)C(F)F	DTXSID00569268	304.1776
FC(F)(CCP(=O)(O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID00896703	728.1295
FC1(F)C(F)(F)C(F)(F)C(F)(OC1(F)F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID80880125	416.0595
FC(F)(F)C(F)(F)C(F)(F)c1[NH]c2ccccc2c1C	DTXSID50896031	299.1874
FC(F)(F)C(F)(F)C#COc1ccccc1	DTXSID40764391	236.1381
Fc1cc(ccc1N)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID00635255	329.1374
FC(F)(S(=O)/C=C/C(=O)OCC)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50896036	366.2007
[K+].FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)[N-]CCC[N+]([O-])(C)C	DTXSID70893562	538.3671 (499.2694+39.0978)
FC(F)(CCCCCCCCCCCC)C(F)(F)C(F)(F)F	DTXSID20895177	338.3478
FC(F)(C(F)(F)OC(\F)=C(/F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(\F)=C(/F)F	DTXSID50501875	494.0771
FC(F)(CCS([O-])(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID401026542	627.1904
FC(F)(F)CC[Si](Cl)(CCC(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)F	DTXSID001033111	454.7307
FC(F)(C(F)(F)[Ge](Br)(Br)Br)C(F)(F)F	DTXSID60785801	481.3729
FC(F)(F)C(F)(/C(=C(\F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXSID70880250	450.0676
FC(F)(C(F)(F)C(N)=O)C(F)(F)C(F)(F)C(N)=O	DTXSID80310730	288.0954
FC(F)(F)C(C)(C(F)(F)F)P(=O)(OC)OC	DTXSID40509082	274.0980
O=P(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCC)OCC	DTXSID00896708	684.2208
FC(F)(F)C(F)(c1cc(C)c(c2cn(nc2)c2ccc(Cl)c(c2)C(=O)O)c(C)c1)C(F)(F)F	DTXSID101026967	494.7899
FC1(F)C(F)(F)C(F)(F)C(F)OC1(F)F	DTXSID30620694	248.0465
C[N+](C)(CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O	DTXSID901034809	856.3123
FC(C(F)(F)F)C(F)(F)C(C)O.CC(=O)O	DTXSID40703386	256.1429 (196.0910+60.0520)
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(Cl)Cl	DTXSID30560460	437.4131
FC(F)(CCSCC(O)COCC(CCCCCCCCCC)CCCCCCCCCCCC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID801032943	890.9010
OCCCS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID00762252	470.2475
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID601032628	1114.1735
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)COp1(np(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)(np(n1)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)C(F)(F)C(F)F	DTXSID70893567	2421.4602
CCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)F	DTXSID20895172	408.1380
FC(F)(F)C(F)(C(F)(F)C(/F)=C(/F)F)C(F)(F)F	DTXSID30896312	300.0450
FC(F)(F)C(F)(F)COc1ccc(Br)cn1	DTXSID40590152	306.0274
