Structure(SMILES)	DTXSID	FW
FC(F)(CC(C)OC(=O)C)C(F)(F)C(F)(F)F	DTXSID50895564	270.1447
FC(F)(C(F)(F)OC(F)(C(=O)OC(F)(C(F)(F)C(Cl)(F)C(Cl)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXSID601023732	630.9900
FC1(F)C(F)(C(F)=O)C(F)(F)C(F)(C(F)(F)F)C1(F)F	DTXSID80889315	328.0551
O=C(OCCCCCC)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50895569	298.1978
FC(F)(CO[Si](C)(OCC(F)(F)C(F)(F)F)OCC(F)(F)C(F)(F)F)C(F)(F)F	DTXSID00776036	490.2382
FC1(F)C(O)(OOC2(O)C(F)(F)C(F)(F)C(F)(F)C2(F)F)C(F)(F)C(F)(F)C1(F)F	DTXSID50544181	490.0949
OC(CC(O)(C(F)(F)F)C(F)(F)F)CC(O)(C(F)(F)F)C(F)(F)F	DTXSID10218472	392.1389
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)CI	DTXSID40382054	509.9820
FC(F)(C(F)(F)OC(=O)/C=C/C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID701026941	534.1227
FC(F)(F)C(ON=O)(C(F)(F)F)C(F)(F)F	DTXSID40513169	265.0339
Cc1sc2ccccc2c1C1=C(c2c3ccccc3sc2C)C(F)(F)C(F)(F)C1(F)F	DTXSID70464958	468.4777
Cc1[NH]nc(c1Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30371497	434.5844
Cc1[NH]nc(c1Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30371492	334.5694
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)NC	DTXSID801034775	813.2165
FC(F)(F)C(C(F)(F)OCF)C(F)(F)F	DTXSID301037100	250.0623
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F	DTXSID801019147	500.1296
FC(F)(F)C(F)(CO)C(F)C(F)(C(F)(F)F)C(F)(F)F	DTXSID30382149	332.0869
FC(F)(C(F)(F)C(F)F)C(F)(F)C[N+](C)(C)CCC	DTXSID901035376	302.2274
O=C(Nc1ccc(N=Nc2ccccc2)cc1)C(F)(F)C(F)(F)C(=O)Nc1ccc(N=Nc2ccccc2)cc1	DTXSID101039398	548.4910
FC(F)(C#CC(=O)OCC)C(F)(F)F	DTXSID80438564	216.1054
FC(F)(C)C(F)(F)C(F)F	DTXSID80577407	166.0650
FC(F)(OC(F)(F)C(=O)O)C(F)(F)OC(F)(F)C(=O)O	DTXSID20375106	322.0637
FC(F)(F)C(F)(F)C(=O)CBr	DTXSID40371302	240.9541
FC1(F)C(=O)C(F)=C(N)C(F)(F)C1(F)F	DTXSID70776866	237.0750
FC(F)(CC(I)C=C)C(F)F	DTXSID40701680	282.0179
O=C(CC(=O)C(F)(F)C(F)(F)F)c1cccs1	DTXSID40588675	272.1918
O=C(CS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NCCC[N+](C)(C)C	DTXSID101035803	653.4168
O=C(Nc1cccc(c1F)C(=O)Nc1c(C)cc(cc1C)C(F)(C(F)(F)F)C(F)(F)F)c1ccc(F)cc1[N+]([O-])=O	DTXSID80896468	593.3979
Fc1c2c(c(F)c(F)c1F)C(F)(F)C(F)(F)C2(Cl)F	DTXSID30507375	314.5349
O=S(=O)(NS(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1	DTXSID50617581	523.2902
Brc1cc(Br)c(cc1NC(=O)c1ccccc1)C(=O)Nc1c(C)cc(cc1C)C(F)(C(F)(F)F)C(F)(F)F	DTXSID80896463	670.2115
[SiH8+4].[O-]CCN(CC[O-])CC[O-].FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C[CH-]I	DTXSID20159529	755.3215 (573.0087+36.1468+146.1660)
FC(F)(C(F)(F)C(Br)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50895544	476.9650
OC(=O)c1ccc(cc1O)OCC(F)(F)C(F)(F)F	DTXSID00430848	286.1522
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50895549	1178.4127
FC(F)(C[N+](C)(C)C)C(F)(F)C(F)F	DTXSID901035388	224.1668
O=C(Nc1c(cc(cc1I)C(F)(C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)c1cccc(c1)N(C)C(=O)c1ccc(F)cc1	DTXSID401027045	760.2853
[NH4+].[NH4+].[O-]P([O-])(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXSID40881077	728.1824 (692.1066+18.0379+18.0379)
CC(C)(C)C(=O)/C=C(/C(F)(F)F)C(F)(F)F	DTXSID00303700	248.1655
COc1cc(C)c(cc1COC(=O)C(F)(F)C(F)(F)C(F)(F)F)OC	DTXSID20832340	378.2394
[Th].FC(F)(C(=O)CC(=O)C(C)(C)C)C(F)(F)C(F)(F)F.FC(F)(F)C(F)(F)C(F)(F)C(=O)CC(=O)C(C)(C)C.FC(F)(F)C(F)(F)C(F)(F)C(=O)CC(=O)C(C)(C)C.FC(F)(F)C(F)(F)C(F)(F)C(=O)CC(=O)C(C)(C)C	DTXSID30329978	1416.7659 (232.0381+296.1820+296.1820+296.1820+296.1820)
FC(F)(F)C(F)(C(F)(F)C(F)(F)C(Cl)(Cl)Cl)C(F)(F)F	DTXSID70749252	387.4056
CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID801034751	734.3149
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O)S(F)(F)(F)(F)F	DTXSID101035815	822.1720
[Cl-].[Cl-].FC(F)(COCC(O)C[N+](C)(C)CC[N+](C)(C)CC(O)COCC(F)(F)C(F)F)C(F)F	DTXSID20893411	565.3668 (494.4597+35.4535+35.4535)
FC(F)(F)/C(=C1\SC(C)(S1)C(=C1/SSC2(C)S/C(C12)=C(/C(F)(F)F)C(F)(F)F)\C1(S\C(S1)=C(/C(F)(F)F)C(F)(F)F)C(C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXSID70419504	964.7263
O=C(C#CC(F)(F)C(F)(F)C(F)(F)F)c1ccccc1	DTXSID30520382	298.1563
CN(C)CC(OCO)C(OC=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID901036681	995.3089
FC1(F)C(OC)=C(F)C(F)(F)C1(F)F	DTXSID10170041	224.0762
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID60191024	1038.1469
O=S(=O)(C(C)CC)c1c(CC)c(ccc1C(F)(C(F)(F)F)C(F)(F)F)C(=O)O	DTXSID80896448	438.3576
FC(Cl)(C(F)(F)C(Cl)(F)I)C(Cl)(F)F	DTXSID501026719	395.2967
OC(Cc1ccc(C)n1C)(C(F)(F)F)C(F)(F)F	DTXSID40144952	275.1909
FC1=C(OC)C(F)(F)C1(F)F	DTXSID80578752	174.0687
Clc1ccc(SCC(F)(F)C(F)F)cc1	DTXSID90505776	258.6635
FC(F)(CCC(=O)C=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID90771757	352.1444
FC1=C(OCC=C)C(F)(F)C1(F)F	DTXSID50617566	200.1060
FC(F)(F)C(F)(F)C(F)(F)C(=O)C=C(O)c1ccc2ccccc2c1	DTXSID70827185	366.2303
CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID801034749	634.2999
C[N+](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(O)CO	DTXSID901022064	573.3899
OC(c1ccc(C)cc1N)(C(F)(F)F)C(F)(F)F	DTXSID10561132	273.1750
FC(F)(C(F)(F)C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)F	DTXSID10561137	398.0690
FC(F)(F)C(OP12(OC(C(O1)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)NC(O2)(C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXSID80413275	711.0840
FC(F)(C1CCCCC1I)C(F)(F)F	DTXSID90379434	328.0615
FC(F)(C(F)(F)S(N)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101035827	699.1749
O=S(=O)(c1c(CC)c(ccc1C(F)(C(F)(F)F)C(F)(F)F)C(=O)O)C(C)(C)C	DTXSID80896443	438.3576
FC(C(=O)OOC(=O)C(F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXSID70763554	426.0608
COc1ccc(C#CC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1	DTXSID30520387	328.1823
FC(F)(C(F)F)N(CC)CC	DTXSID00482064	173.1519
CN(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID901036693	821.2584
FC(F)(F)C(C)C(F)(F)F	DTXSID60380835	166.0650
C[N+](C)(CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)F)CCC([O-])=O	DTXSID901034035	370.2638
FC(F)(COCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50895524	344.1224
O=[N+]([O-])c1cc(ccc1)C(O)(C(F)(F)F)C(F)(F)F	DTXSID50299442	289.1313
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)C(F)C(F)(F)F	DTXSID60595543	352.0684
FC(F)([Se]C(F)(F)C(F)(F)F)C(F)(F)F	DTXSID90631327	316.9868
FC(F)(CC[Sn](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID10538788	1507.0964
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)S(=O)(=O)O	DTXSID501026707	312.1648
Cl.FC(F)(CCCON)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50895529	529.6211 (36.4609+493.1602)
[NH4+].[NH4+].[O-]P([O-])(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID40881072	878.2049 (842.1291+18.0379+18.0379)
FC1(F)C(F)(C(F)(F)C(F)(C(F)(F)C1(F)F)C(F)(F)F)C(F)(F)F	DTXSID0036926	400.0601
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOP([O-])(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.OCC[NH2+]CCO	DTXSID40881057	1795.4433 (1689.3002+106.1430)
FC(F)(F)C(O)(NCCO)C(F)(F)F	DTXSID00952575	227.1050
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CN(C)c1ccc(N=Nc2ccc(cc2)[N+]([O-])=O)cc1	DTXSID401039066	588.3221
FC(F)(F)C(F)(OC(F)F)C(F)F	DTXSID301037148	218.0453
FC(F)(F)C(O)(C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXSID90896313	336.0508
FC1(F)C2(F)CCC(F)(C(F)=C2F)C1(F)F	DTXSID60343824	252.1046
FC(F)(C(C)[SiH2]C(Cl)Cl)C(F)(F)F	DTXSID90834073	261.0926
FC(F)(C(F)(F)C(Cl)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50871525	404.5039
FC(F)(CC[Si](Cl)(Cl)Cl)C(F)(F)C(F)(F)F	DTXSID10621407	331.5186
Brc1ccnc(c1)C(F)(F)C(F)(F)C(F)(F)F	DTXSID40895699	326.0089
FC(F)(C(Cl)(F)C(Cl)(Cl)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50569399	487.4206
FC(F)(C#CF)C(F)(F)C(F)(F)F	DTXSID401027071	212.0407
C[N+](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)F)CCC(O)CO	DTXSID901035338	373.3598
FC(F)(C(F)(F)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID10551730	614.1415
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOCCOCCOCCOCCOCCOCCOCCOCCO	DTXSID901034009	816.5394
FC(F)(C(F)(F)CCC#N)C(F)(F)C(F)(F)F	DTXSID10561152	273.0990
FC(F)(CC(O)S([O-])(=O)=O)C(F)(F)C(F)(F)C(F)(F)F	DTXSID601034486	343.1447
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)CC	DTXSID80895173	298.0970
FC(F)(C(F)(F)OCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID40791081	530.1259
FC(F)(C(F)(F)CCN)C(F)(F)F	DTXSID80895178	213.0967
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCc1ccc2c3ccc(cc3C(COC(Cl)=O)c2c1)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID60584836	950.8770
FC(F)(Oc1ccccc1C)C(F)F	DTXSID60194979	208.1528
NC(CC(F)(F)C(F)(F)C(F)(F)F)C(=O)OCC	DTXSID40895694	285.1593
CCN(CC)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)C(=O)N(CC)CC	DTXSID50617541	432.3251
ClC(Cl)C(F)(F)C(Cl)(F)F	DTXSID9075032	219.3927
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)CO	DTXSID20880129	250.0623
FC(F)(OC(Cl)(Cl)Cl)C(F)C(F)(F)F	DTXSID60380850	285.3996
CCO[Si](OCC)(OCC)CCCC(C(F)(F)C(F)(F)C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXSID80564135	524.3902
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C=CCCCCCCCCCCCC	DTXSID50895504	514.4076
FC(c1cc(Br)ccc1)(C(F)(F)F)C(F)(F)F	DTXSID90896318	325.0209
FC(F)(Sc1ccccc1)C(F)(F)F	DTXSID20503947	228.1823
FC(F)(F)C(F)(CN)C(=O)O	DTXSID401027083	175.0816
CN(C)CC(OCO)C(OC=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID901036679	895.2939
FC(F)(C(F)C(F)(F)F)N(CC)CC	DTXSID20880124	223.1594
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50895509	1122.3064
FC(F)(F)C(F)OCC	DTXSID60623279	146.0835
[I-].FC(F)(CC(O)C[N+](C)(CCO)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID40881052	823.2193 (696.3143+126.9050)
CCN(CC)C1(OCCC(C)O1)C(F)C(F)(F)F	DTXSID00519723	273.2677
[I-].FC(F)(CC(O)C[N+](C)(CCO)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID40881032	923.2343 (796.3293+126.9050)
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)CCCNCCC[N+](C)(C)C	DTXSID601033145	641.4061
C[N+]([O-])(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F	DTXSID801034799	350.2542
O=C(NC1CCCCC1)C(=O)C(C(F)(F)F)C(F)(F)F	DTXSID90413120	305.2168
O=S(Cl)(=O)c1ccc(OC(/F)=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1	DTXSID20893456	472.6588
FC(F)(CC(O)COC(=O)C=C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXSID60379880	398.1698
FC(F)(OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(=O)OC)C(F)(F)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F	DTXSID80379564	842.1451
FC(F)(C(F)(F)COC(=O)C(=C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID40197408	618.1813
FC(F)(C(F)(F)C(F)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID40895674	816.1195
FC(F)(C(F)(F)OC(F)(CO)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30382169	416.0843
FC(F)(/C=C(/I)CO)C(F)(F)C(F)(F)F	DTXSID10346749	351.9887
FC1(F)C(=O)OC(=O)C1(F)F	DTXSID6061022	172.0346
FC(F)(C(=O)OC=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID40895679	340.0907
[Mo].FC(F)([C-]=O)C(F)(F)C(F)(F)F.[O+]#[C-].[O+]#[C-].[O+]#[C-].[c-]1[c-][c-][c-][CH-]1	DTXSID20390713	438.0661 (95.9400+197.0316+28.0101+28.0101+28.0101+61.0642)
CN(C)CC(OCO)C(OC=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID901036643	495.2338
FC(F)(F)\C(=C=C/[N+]#N)C(F)(F)F	DTXSID50846591	203.0647
FC(F)(F)C(F)(CC=C)C(=O)O	DTXSID20531189	186.1043
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)F	DTXSID501032594	462.1328
FC(F)C(F)(F)C(C)=O	DTXSID30382164	144.0676
FC(F)(F)CC[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)CCC	DTXSID601033133	446.3478
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)OC(C(F)(F)F)C(F)(F)F	DTXSID30895926	450.1221
FC(F)(C(F)(F)OC(F)(F)C(F)(F)I)S(N)(=O)=O	DTXSID80576137	423.0203
FC(F)(F)C(Br)(F)C#N	DTXSID40371327	205.9364
FC1(F)C=CC(F)(F)C1(F)F	DTXSID10461880	176.0598
FC(F)(F)C(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)O	DTXSID30895921	500.1296
FC(F)(F)C(F)OC(F)F	DTXSID80866606	168.0378
FC(F)(CCCCCC)C(F)(F)C(F)(F)F	DTXSID80895158	254.1883
FC(F)(F)C(F)(F)OC(F)(C(=O)OC)C(F)(F)F	DTXSID80896488	294.0718
O=C(c1cc(Cl)ccc1)c1ccc(OC(F)(F)C(F)F)cc1	DTXSID70547775	332.6774
FC(F)(CCC)C(F)(F)C(F)(F)F	DTXSID80895153	212.1086
FC(F)(OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)OC(/F)=C(/F)F	DTXSID80896483	382.0513
FC(F)(C(F)(F)CCN)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID401027069	663.1642
F\C(=C(\F)C(F)(F)F)C(F)(F)F	DTXSID20880149	200.0300
O=S(=O)(O)CCCN(C(CCN(C)C)CO)S(=O)(=O)C(F)(F)C(F)(F)F	DTXSID901035326	436.4163
O=C(Nc1ccc(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1)c1ccncc1	DTXSID80408727	432.2405
O=C(CC(=O)OCC)C(F)(F)C(F)(F)F	DTXSID20880144	234.1207
[Li+].O=C([O-])CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID501032582	358.1502 (351.2098+6.9405)
[Cl-].FC(F)(F)C(O)(CC(=O)CCC[n+]1ccccc1)C(F)(F)F	DTXSID80907785	365.6992 (330.2456+35.4535)
Fc1ccc(Br)cc1Oc1cccc(c1)N(Cc1cccc(c1)C(F)(F)C(F)(F)C(F)(F)F)CC(O)C(F)(F)F	DTXSID001026740	652.2944
FC(c1nc(N)nc(N)n1)C(F)(F)F	DTXSID60775646	211.1203
FC(Cl)(F)C(Cl)(F)OC(F)(C(F)(F)F)C(F)(F)F	DTXSID40881012	336.9429
C[N+](C)(CCCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O	DTXSID701035049	500.3345
FC1(F)C(=C(F)C(F)(F)C(F)(F)C1(Br)F)[N+]([O-])=O	DTXSID40507265	349.9609
FC(F)(F)C(O)C(F)(F)F	DTXSID1022134	168.0378
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(O)COCC(C)OC(C)COCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID40881017	1486.4929
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXSID70896598	414.0684
FC(c1ccc(N)cc1)(C(F)(F)F)C(F)(F)F	DTXSID70431246	261.1395
FC(F)(C(F)(F)C(O)CO)C(F)(F)C(F)(F)F	DTXSID70895268	280.0883
O=C(CC(=O)C(F)(F)C(F)(F)F)c1ccc(F)cc1	DTXSID60502131	284.1546
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)CN	DTXSID50379930	449.1076
FC(F)(C(F)(C(=O)O)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID70896593	414.0684
FC(F)(F)C(F)CCO	DTXSID301022923	146.0835
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCC	DTXSID70895263	546.3056
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSSCCCCCCCC	DTXSID10773612	524.4472
C[N+](C)(CCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC	DTXSID401035507	491.3836
O=P(O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC	DTXSID40895654	456.1376
FC1(F)C(F)(F)C(F)(OC1(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30503857	466.0670
OP(=O)(O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID8063204	651.2305
FC(F)(F)C(CO)C(F)(F)F	DTXSID10405744	182.0644
C=C(C(=O)OCC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID40895659	318.1363
FC(F)(C(=C(C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXSID60712076	400.0601
FC(F)(F)C(O)(CCc1ccccc1)C(F)(F)F	DTXSID60143326	272.1869
FC(F)(C(F)(F)OCC(F)(F)C(=O)O)C(F)(F)C(F)(F)F	DTXSID90837948	344.0794
Brc1cc(N)c(N)cc1OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID001026752	483.0753
FC(F)(OC(F)(F)C(F)(F)C(=O)O)C(F)(OC(\F)=C(\F)F)C(F)(F)F	DTXSID10904747	408.0704
FC(C(F)(F)F)C(F)(F)OCF	DTXSID60708818	200.0548
FC(F)(C(F)(F)C(=O)OO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID70502086	380.0603
O=C(C)Nc1ccc(cc1)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30895946	303.1761
O=C(C1CC1(C(F)(F)F)C(F)(F)F)c1ccccc1	DTXSID00813430	282.1817
FC(F)(CC(O)COC(=O)C=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30895941	448.1773
C[N+](C)(CCCC(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O	DTXSID701036366	313.2125
Oc1ccc(CCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1O	DTXSID301021606	599.2391
FC(F)(c1cccc(C#N)c1)C(F)(F)F	DTXSID301022935	221.1268
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)OC	DTXSID20382274	314.1261
FC(C(=O)CCC(=O)O)(C(F)(F)F)C(F)(F)F	DTXSID90648137	270.1016
