Structure(SMILES)	DSSTox_Structure_Id
FC(F)(F)C1(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F	DTXCID8034087
CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID0034194
FC(F)(C(F)(F)COC(=O)C(=C)C)C(F)(F)F	DTXCID6034390
FC(F)(C(=O)C(F)(F)C(F)(F)OC)C(F)(F)OC	DTXCID2034627
	DTXCID0034803
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CCCCOC(=O)C=C	DTXCID7034834
FC(F)(C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F	DTXCID2034839
FC(F)(C(=C)F)C(F)(F)C(F)F	DTXCID5034981
FC(F)(C(F)(F)C(F)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID8035055
FC(F)(C(F)(F)C(F)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID7035062
FC(F)(C(F)(F)C(F)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID5035084
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID0035116
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID5035117
FC(F)(C(F)(F)OC(\F)=C(/F)F)C(F)(F)F	DTXCID8035217
FC(F)(C(F)(F)OCC)C(F)(F)C(F)(F)F	DTXCID4035251
FC(C(F)(F)F)(C(F)(F)OCC)C(F)(F)F	DTXCID9035252
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)OC	DTXCID4035253
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID5035294
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID0035295
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID2035302
FC(F)(C(F)(F)CCI)C(F)(F)C(F)(F)C(F)(F)F	DTXCID8035396
[NH4+].FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID8035504
O=C(OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C	DTXCID0035530
FC(F)(CCOC(=O)C=C)C(F)(F)F	DTXCID1035575
FC(F)(C(=O)CC(=O)C(C)(C)C)C(F)(F)C(F)(F)F	DTXCID5035589
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F	DTXCID0035619
FC(F)(CCOC(=O)C(=C)C)C(F)(F)C(F)(F)C(F)(F)F	DTXCID3035713
FC(F)(C(F)(F)C(F)=O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID3035717
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID2035722
FC1(F)C(F)(F)C(F)(C(F)(F)C1(F)F)C(F)(F)F	DTXCID6035730
FC(F)(CCBr)C(Br)(F)F	DTXCID4035881
C=CC(F)(F)C(Br)(F)F	DTXCID9035882
CCOC(=O)CN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID0035902
FC1(F)C(F)=CC(F)(F)C1(F)F	DTXCID8035976
O=C(OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C	DTXCID2035982
FC(F)(CCOC(=O)C(=C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID5036187
FC(F)(C(F)(F)CCO)C(F)(F)C(F)(F)F	DTXCID8036289
FC(F)(C(F)(F)CCI)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID7036290
FC(F)(C(F)(F)CCI)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID2036291
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)N(CC)CCOC(=O)Nc1cc(NC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(C)cc1	DTXCID1036418
FC(F)(CCOC(=O)C(=C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID9036480
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C	DTXCID2036532
