Study,PFAS,SMILES,half_life,half_life_sd,Individual_data,N_individuals,half_life_type,Occupational_exposure,SE,CI_l,CI_u,Comments,log_half_life,LogKa,N_excluded
Nilsson et al.2022a,4mPFOS,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(F)(F)F)F,7.8,2.8,False,79,apparent,True,,,,,0.8920946026904804,5.8139753341674805,
Nilsson et al.2022a,5mPFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(C(F)(F)F)F,7.8,2.8,False,79,apparent,True,,,,,0.8920946026904804,5.8139753341674805,
Nilsson et al.2022a,"4,5dm-PFOS",C(C(C(F)(F)F)(C(F)(F)F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(F)(F)F)F,5.1,1.8,False,66,apparent,True,,,,,0.7075701760979364,5.853418350219727,
Nilsson et al.2022a,8-Cl-PFOS,C(C(C(C(C(F)(F)Cl)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,5.2,1.0,False,75,apparent,True,,,,,0.7160033436347992,5.9384002685546875,
Nilsson et al.2022b,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,2.0,1.385558736,False,118,apparent,True,,1.7,2.2,,0.3010299956639812,5.382719993591309,
Nilsson et al.2022b,PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,6.0,2.687666774,False,111,apparent,True,,5.5,6.5,,0.7781512503836436,5.732048511505127,
Nilsson et al.2022b,PFHpS,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,5.6,2.504551251,False,119,apparent,True,,5.1,6.0,,0.7481880270062004,5.7382307052612305,
Nilsson et al.2022b,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,5.7,2.829218497,False,123,apparent,True,,5.2,6.2,,0.7558748556724915,5.895376205444336,
Batzella et al. 2024,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,2.36,1.356320239,False,5769,intrinsic,False,,2.33,2.4,,0.37291200297010657,5.382719993591309,
Costa et al. 2009,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,5.1,1.7,False,16,apparent,True,,,,,0.7075701760979364,5.382719993591309,
Lewis-Michl et al. 2025,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,3.65,2.73,False,307,apparent,False,,3.34,3.95,,0.5622928644564748,5.382719993591309,
Abraham et al. 2024,6:2FTS,[13CH2]([13CH2]S(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.011342466,,,1,intrinsic,False,,,,,,5.660702228546143,0.0
Abraham et al. 2024,DONA,C(C(C(=O)O)(F)F)(OC(C(C(OC(F)(F)F)(F)F)(F)F)(F)F)F,0.095068493,,,1,intrinsic,False,,,,,,5.232205867767334,0.0
Abraham et al. 2024,HFPO-DA,C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)O,0.007835616,,,1,intrinsic,False,,,,,,4.920711994171143,0.0
Abraham et al. 2024,PFBA,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,0.011452055,,,1,intrinsic,False,,,,,,4.3221564292907715,0.0
Abraham et al. 2024,PFBS,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,0.138630137,,,1,intrinsic,False,,,,,,4.940820693969727,0.0
Abraham et al. 2024,PFDA,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,2.361643836,,,1,intrinsic,False,,,,,,5.391226291656494,0.0
Abraham et al. 2024,PFDoA,C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.808219178,,,1,intrinsic,False,,,,,,4.8039374351501465,0.0
Abraham et al. 2024,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.416438356,,,1,intrinsic,False,,,,,,5.239198684692383,0.0
Abraham et al. 2024,PFHxA,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.003972603,,,1,intrinsic,False,,,,,,4.946195125579834,0.0
Abraham et al. 2024,PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,4.476712329,,,1,intrinsic,False,,,,,,5.732048511505127,0.0
Abraham et al. 2024,PFNA,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,3.575342466,,,1,intrinsic,False,,,,,,5.445358753204346,0.0
Abraham et al. 2024,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,5.509589041,,,1,intrinsic,False,,,,,,5.382719993591309,0.0
Abraham et al. 2024,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,3.317808219,,,1,intrinsic,False,,,,,,5.895376205444336,0.0
Abraham et al. 2024,PFPeA,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,0.001424658,,,1,intrinsic,False,,,,,,4.85585880279541,0.0
Abraham et al. 2024,PFUdA,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-],1.6,,,1,intrinsic,False,,,,,,5.314082622528076,0.0
Chang et al. 2008,PFBA,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,0.021789383375000002,0.002894002196973691,,8,apparent,True,,,,,,4.3221564292907715,3.0
Gomis et al. 2016,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,2.375,0.38622100754188216,,4,intrinsic,True,,,,,,5.382719993591309,0.0
Olsen et al. 2007,PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,8.518651211923077,5.1612671692445256,,26,apparent,True,,,,,,5.732048511505127,0.0
Olsen et al. 2007,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,3.430658838952381,0.6553460272989683,,21,apparent,True,,,,,,5.382719993591309,5.0
Olsen et al. 2007,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,4.761863013799999,1.5995691076037313,,25,apparent,True,,,,,,5.895376205444336,1.0
Olsen et al. 2009,PFBS,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,0.075890411,0.03038354909885236,,6,apparent,True,,,,,,4.940820693969727,0.0
Russel et al. 2013,PFHxA,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.09589041085714287,0.035826566568624436,,7,apparent,True,,,,,,4.946195125579834,0.0
Xu et al.2020,1mPFOS,C(C(C(C(C(F)(F)F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,3.972727272727273,7.574574695531216,,11,apparent,False,,,,,,5.8139753341674805,0.0
Xu et al.2020,2mPFOS,C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)S(=O)(=O)O)F,1.1166666666666667,1.0768922739517495,,12,apparent,False,,,,,,5.8139753341674805,1.0
Xu et al.2020,3mPFOS,C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)F,2.784615384615385,2.7691292716442333,,13,apparent,False,,,,,,5.8139753341674805,2.0
Xu et al.2020,4mPFOS,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(F)(F)F)F,2.784615384615385,2.7691292716442333,,13,apparent,False,,,,,,5.8139753341674805,2.0
Xu et al.2020,5mPFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(C(F)(F)F)F,2.784615384615385,2.7691292716442333,,13,apparent,False,,,,,,5.8139753341674805,2.0
Xu et al.2020,6mPFOS,C(C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F,1.1166666666666667,1.0768922739517495,,12,apparent,False,,,,,,5.853418350219727,1.0
Xu et al.2020,PFBS,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,0.14705882352941177,0.05144957554275265,,17,apparent,False,,,,,,4.940820693969727,0.0
Xu et al.2020,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.23529411764705882,0.16934128435864448,,17,apparent,False,,,,,,5.239198684692383,0.0
Xu et al.2020,PFHpS,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,3.8000000000000003,4.8673307973579405,,12,apparent,False,,,,,,5.7382307052612305,0.0
Xu et al.2020,PFHxA,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,1.0374999999999999,1.3521807782773934,,8,apparent,False,,,,,,4.946195125579834,0.0
Xu et al.2020,PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,2.8076923076923075,2.264384220364534,,13,apparent,False,,,,,,5.732048511505127,1.0
Xu et al.2020,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,1.8875,0.6344288770224759,,16,apparent,False,,,,,,5.382719993591309,1.0
Xu et al.2020,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1.9909090909090907,1.1742695989035443,,11,apparent,False,,,,,,5.895376205444336,1.0
Xu et al.2020,PFPeS,C(C(C(F)(F)F)(F)F)(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F,0.9058823529411765,0.4249567452036945,,17,apparent,False,,,,,,4.869239330291748,0.0
Yu et al. 2021,PFNA,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,4.168072289156626,1.9650199886225486,,83,apparent,False,,,,,,5.445358753204346,8.0
